shots,rmsd
1.000000000000000000e+01,8.408912283603083848e-01
2.000000000000000000e+01,9.890694645409608965e-01
3.000000000000000000e+01,1.043942202181436851e+00
4.000000000000000000e+01,1.059530903282605463e+00
5.000000000000000000e+01,1.080724001771031562e+00
6.000000000000000000e+01,1.086504361096886528e+00
7.000000000000000000e+01,1.095562864343665233e+00
8.000000000000000000e+01,1.099793298148434850e+00
9.000000000000000000e+01,1.104606190105116070e+00
1.000000000000000000e+02,1.107222925743934550e+00
2.000000000000000000e+02,1.121533655091170534e+00
3.000000000000000000e+02,1.126794085140756962e+00
4.000000000000000000e+02,1.129189632990394543e+00
5.000000000000000000e+02,1.130599476487193611e+00
6.000000000000000000e+02,1.131428935880516073e+00
7.000000000000000000e+02,1.132197257890400710e+00
8.000000000000000000e+02,1.132966544917115126e+00
9.000000000000000000e+02,1.133128450400045617e+00
1.000000000000000000e+03,1.133460993929777505e+00
2.000000000000000000e+03,1.134917041679712968e+00
3.000000000000000000e+03,1.135426283336096853e+00
4.000000000000000000e+03,1.135653510370518093e+00
5.000000000000000000e+03,1.135781726380409529e+00
6.000000000000000000e+03,1.135903472081349896e+00
7.000000000000000000e+03,1.135959494172002149e+00
8.000000000000000000e+03,1.136010050461603305e+00
9.000000000000000000e+03,1.136052105324423467e+00
