shots, rmsd
1.000000000000000000e+01,1.448487414814477181e-01
2.000000000000000000e+01,1.066461756272667066e-01
3.000000000000000000e+01,6.871627404386654314e-02
4.000000000000000000e+01,6.686695388468658074e-02
5.000000000000000000e+01,4.776331971069138621e-02
6.000000000000000000e+01,5.334832438462433490e-02
7.000000000000000000e+01,4.124054901392301686e-02
8.000000000000000000e+01,4.194936805452603029e-02
9.000000000000000000e+01,3.510689029621411744e-02
1.000000000000000000e+02,2.769909650449589242e-02
2.000000000000000000e+02,3.672827092509898389e-02
3.000000000000000000e+02,2.636584489085777930e-02
4.000000000000000000e+02,1.619793534149638337e-02
5.000000000000000000e+02,1.207859233135281408e-02
6.000000000000000000e+02,1.681462056632175225e-02
7.000000000000000000e+02,1.142846897143758901e-02
8.000000000000000000e+02,1.752630258576642897e-02
9.000000000000000000e+02,1.733854931051930642e-02
1.000000000000000000e+03,1.529520383899561284e-02
2.000000000000000000e+03,1.041917474910269113e-02
3.000000000000000000e+03,7.594305732631033944e-03
4.000000000000000000e+03,5.770406115436972107e-03
5.000000000000000000e+03,4.765262788778119353e-03
6.000000000000000000e+03,5.514741019762753153e-03
7.000000000000000000e+03,4.708232570405711075e-03
8.000000000000000000e+03,4.494754272873401069e-03
9.000000000000000000e+03,4.488840859001714395e-03
1.000000000000000000e+04,3.548456016480584872e-03
