shots, mean, variance
1.000000000000000000e+01,1.243406041746042634e+00,1.000689897457698319e+00
2.000000000000000000e+01,6.392822848248995715e-01,6.066281896954751895e-02
3.000000000000000000e+01,5.386940983523688109e-01,1.869877985485033089e-01
4.000000000000000000e+01,6.946210873448955825e-01,2.854437240297910128e-01
5.000000000000000000e+01,5.408502282782406967e-01,9.596277692410960791e-02
6.000000000000000000e+01,7.374911080195898361e-01,1.116404299882196360e+00
7.000000000000000000e+01,7.556538169301074692e-01,9.638235618014416861e-01
8.000000000000000000e+01,5.659577414521114180e-01,9.795301672670750359e-02
9.000000000000000000e+01,5.518316409369200537e-01,2.449733794868406700e-01
1.000000000000000000e+02,4.320528749835678139e-01,1.240597678876698140e-01
